codmun;data;semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
130002;27/03/2020;13;0;0;0;0
130002;28/03/2020;13;0;0;0;0
130002;29/03/2020;14;0;0;0;0
130002;30/03/2020;14;0;0;0;0
130002;31/03/2020;14;0;0;0;0
130002;01/04/2020;14;0;0;0;0
130002;02/04/2020;14;0;0;0;0
130002;03/04/2020;14;0;0;0;0
130002;04/04/2020;14;0;0;0;0
130002;05/04/2020;15;0;0;0;0
130002;06/04/2020;15;0;0;0;0
130002;07/04/2020;15;0;0;0;0
130002;08/04/2020;15;0;0;0;0
130002;09/04/2020;15;0;0;0;0
130002;10/04/2020;15;0;0;0;0
130002;11/04/2020;15;0;0;0;0
130002;12/04/2020;16;0;0;0;0
130002;13/04/2020;16;0;0;0;0
130002;14/04/2020;16;0;0;0;0
130002;15/04/2020;16;0;0;0;0
130002;16/04/2020;16;0;0;0;0
130002;17/04/2020;16;0;0;0;0
130002;18/04/2020;16;0;0;0;0
130002;19/04/2020;17;0;0;0;0
130002;20/04/2020;17;0;0;0;0
130002;21/04/2020;17;0;0;0;0
130002;22/04/2020;17;0;0;0;0
130002;23/04/2020;17;0;0;0;0
130002;24/04/2020;17;0;0;0;0
130002;25/04/2020;17;0;0;0;0
130002;26/04/2020;18;0;0;0;0
130002;27/04/2020;18;0;0;0;0
130002;28/04/2020;18;0;0;0;0
130002;29/04/2020;18;0;0;0;0
130002;30/04/2020;18;0;0;0;0
130002;01/05/2020;18;0;0;0;0
130002;02/05/2020;18;0;0;0;0
130002;03/05/2020;19;0;0;0;0
130002;04/05/2020;19;1;1;0;0
130002;05/05/2020;19;2;1;0;0
130002;06/05/2020;19;2;0;0;0
130002;07/05/2020;19;2;0;0;0
130002;08/05/2020;19;2;0;0;0
130002;09/05/2020;19;2;0;0;0
130002;10/05/2020;20;2;0;0;0
130002;11/05/2020;20;2;0;0;0
130002;12/05/2020;20;2;0;0;0
130002;13/05/2020;20;7;5;3;3
130002;14/05/2020;20;7;0;3;0
130002;15/05/2020;20;9;2;3;0
130002;16/05/2020;20;10;1;3;0
130002;17/05/2020;21;10;0;3;0
130002;18/05/2020;21;10;0;3;0
130002;19/05/2020;21;16;6;3;0
130002;20/05/2020;21;23;7;3;0
130002;21/05/2020;21;33;10;3;0
130002;22/05/2020;21;44;11;3;0
130002;23/05/2020;21;46;2;5;2
130002;24/05/2020;22;60;14;5;0
130002;25/05/2020;22;70;10;6;1
130002;26/05/2020;22;97;27;6;0
130002;27/05/2020;22;107;10;6;0
130002;28/05/2020;22;140;33;7;1
130002;29/05/2020;22;172;32;7;0
130002;30/05/2020;22;172;0;7;0
130002;31/05/2020;23;235;63;8;1
130002;01/06/2020;23;254;19;9;1
130002;02/06/2020;23;292;38;9;0
130002;03/06/2020;23;333;41;10;1
130002;04/06/2020;23;367;34;10;0
130002;05/06/2020;23;368;1;10;0
130002;06/06/2020;23;384;16;10;0
130002;07/06/2020;24;384;0;10;0
130002;08/06/2020;24;389;5;10;0
130002;09/06/2020;24;389;0;10;0
130002;10/06/2020;24;389;0;10;0
130002;11/06/2020;24;389;0;10;0
130002;12/06/2020;24;427;38;10;0
130002;13/06/2020;24;427;0;10;0
130002;14/06/2020;25;427;0;10;0
130002;15/06/2020;25;427;0;10;0
130002;16/06/2020;25;477;50;11;1
130002;17/06/2020;25;477;0;11;0
130002;18/06/2020;25;477;0;11;0
130002;19/06/2020;25;505;28;12;1
130002;20/06/2020;25;505;0;12;0
130002;21/06/2020;26;505;0;12;0
130002;22/06/2020;26;505;0;12;0
130002;23/06/2020;26;505;0;12;0
130002;24/06/2020;26;715;210;12;0
130002;25/06/2020;26;736;21;13;1
130002;26/06/2020;26;736;0;13;0
130002;27/06/2020;26;926;190;13;0
130002;28/06/2020;27;926;0;13;0
130002;29/06/2020;27;926;0;13;0
130002;30/06/2020;27;964;38;13;0
130002;01/07/2020;27;995;31;13;0
130002;02/07/2020;27;1016;21;13;0
130002;03/07/2020;27;1019;3;13;0
130002;04/07/2020;27;1019;0;13;0
130002;05/07/2020;28;1019;0;13;0
130002;06/07/2020;28;1024;5;13;0
130002;07/07/2020;28;1028;4;13;0
130002;08/07/2020;28;1035;7;13;0
130002;09/07/2020;28;1036;1;13;0
130002;10/07/2020;28;1037;1;13;0
130002;11/07/2020;28;1037;0;13;0
130002;12/07/2020;29;1037;0;13;0
130002;13/07/2020;29;1058;21;13;0
130002;14/07/2020;29;1058;0;13;0
130002;15/07/2020;29;1075;17;13;0
130002;16/07/2020;29;1084;9;13;0
130002;17/07/2020;29;1084;0;13;0
130002;18/07/2020;29;1084;0;13;0
130002;19/07/2020;30;1095;11;13;0
130002;20/07/2020;30;1100;5;13;0
130002;21/07/2020;30;1100;0;13;0
130002;22/07/2020;30;1107;7;13;0
130002;23/07/2020;30;1112;5;13;0
130002;24/07/2020;30;1112;0;13;0
130002;25/07/2020;30;1112;0;13;0
130002;26/07/2020;31;1126;14;13;0
130002;27/07/2020;31;1126;0;13;0
130002;28/07/2020;31;1132;6;13;0
130002;29/07/2020;31;1136;4;13;0
130002;30/07/2020;31;1136;0;13;0
130002;31/07/2020;31;1148;12;13;0
130002;01/08/2020;31;1148;0;13;0
130002;02/08/2020;32;1148;0;13;0
130002;03/08/2020;32;1157;9;13;0
130002;04/08/2020;32;1157;0;13;0
130002;05/08/2020;32;1161;4;13;0
130002;06/08/2020;32;1161;0;13;0
130002;07/08/2020;32;1177;16;13;0
130002;08/08/2020;32;1181;4;13;0
130002;09/08/2020;33;1187;6;13;0
130002;10/08/2020;33;1188;1;13;0
130002;11/08/2020;33;1188;0;13;0
130002;12/08/2020;33;1195;7;13;0
130002;13/08/2020;33;1196;1;13;0
130002;14/08/2020;33;1201;5;13;0
130006;27/03/2020;13;0;0;0;0
130006;28/03/2020;13;0;0;0;0
130006;29/03/2020;14;0;0;0;0
130006;30/03/2020;14;0;0;0;0
130006;31/03/2020;14;0;0;0;0
130006;01/04/2020;14;0;0;0;0
130006;02/04/2020;14;0;0;0;0
130006;03/04/2020;14;0;0;0;0
130006;04/04/2020;14;0;0;0;0
130006;05/04/2020;15;0;0;0;0
130006;06/04/2020;15;0;0;0;0
130006;07/04/2020;15;0;0;0;0
130006;08/04/2020;15;0;0;0;0
130006;09/04/2020;15;0;0;0;0
130006;10/04/2020;15;0;0;0;0
130006;11/04/2020;15;0;0;0;0
130006;12/04/2020;16;0;0;0;0
130006;13/04/2020;16;0;0;0;0
130006;14/04/2020;16;0;0;0;0
130006;15/04/2020;16;0;0;0;0
130006;16/04/2020;16;0;0;0;0
130006;17/04/2020;16;0;0;0;0
130006;18/04/2020;16;0;0;0;0
130006;19/04/2020;17;0;0;0;0
130006;20/04/2020;17;0;0;0;0
130006;21/04/2020;17;0;0;0;0
130006;22/04/2020;17;0;0;0;0
