codmun;data;semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
350010;2020-03-27;13;0;0;0;0
350010;2020-03-28;13;0;0;0;0
350010;2020-03-29;14;0;0;0;0
350010;2020-03-30;14;0;0;0;0
350010;2020-03-31;14;0;0;0;0
350010;2020-04-01;14;0;0;0;0
350010;2020-04-02;14;0;0;0;0
350010;2020-04-03;14;1;1;0;0
350010;2020-04-04;14;1;0;0;0
350010;2020-04-05;15;0;-1;0;0
350010;2020-04-06;15;0;0;0;0
350010;2020-04-07;15;0;0;0;0
350010;2020-04-08;15;0;0;0;0
350010;2020-04-09;15;0;0;0;0
350010;2020-04-10;15;0;0;0;0
350010;2020-04-11;15;0;0;0;0
350010;2020-04-12;16;0;0;0;0
350010;2020-04-13;16;0;0;0;0
350010;2020-04-14;16;1;1;0;0
350010;2020-04-15;16;1;0;0;0
350010;2020-04-16;16;1;0;0;0
350010;2020-04-17;16;1;0;0;0
350010;2020-04-18;16;1;0;0;0
350010;2020-04-19;17;1;0;0;0
350010;2020-04-20;17;1;0;0;0
350010;2020-04-21;17;1;0;0;0
350010;2020-04-22;17;1;0;0;0
350010;2020-04-23;17;1;0;0;0
350010;2020-04-24;17;1;0;0;0
350010;2020-04-25;17;2;1;0;0
350010;2020-04-26;18;2;0;0;0
350010;2020-04-27;18;2;0;0;0
350010;2020-04-28;18;3;1;0;0
350010;2020-04-29;18;3;0;0;0
350010;2020-04-30;18;5;2;0;0
350010;2020-05-01;18;5;0;0;0
350010;2020-05-02;18;6;1;0;0
350010;2020-05-03;19;6;0;0;0
350010;2020-05-04;19;6;0;0;0
350010;2020-05-05;19;7;1;0;0
350010;2020-05-06;19;8;1;0;0
350010;2020-05-07;19;9;1;0;0
350010;2020-05-08;19;10;1;0;0
350010;2020-05-09;19;11;1;0;0
350010;2020-05-10;20;11;0;0;0
350010;2020-05-11;20;11;0;0;0
350010;2020-05-12;20;15;4;0;0
350010;2020-05-13;20;20;5;0;0
350010;2020-05-14;20;23;3;0;0
350010;2020-05-15;20;23;0;0;0
350010;2020-05-16;20;26;3;1;1
350010;2020-05-17;21;26;0;1;0
350010;2020-05-18;21;26;0;1;0
350010;2020-05-19;21;29;3;1;0
350010;2020-05-20;21;30;1;1;0
350010;2020-05-21;21;35;5;2;1
350010;2020-05-22;21;36;1;2;0
350010;2020-05-23;21;37;1;2;0
350010;2020-05-24;22;37;0;2;0
350010;2020-05-25;22;37;0;2;0
350010;2020-05-26;22;37;0;2;0
350010;2020-05-27;22;37;0;2;0
350010;2020-05-28;22;37;0;2;0
350010;2020-05-29;22;38;1;2;0
350010;2020-05-30;22;39;1;2;0
350010;2020-05-31;23;39;0;2;0
350010;2020-06-01;23;39;0;2;0
350010;2020-06-02;23;41;2;2;0
350010;2020-06-03;23;43;2;3;1
350010;2020-06-04;23;43;0;3;0
350010;2020-06-05;23;43;0;3;0
350010;2020-06-06;23;42;-1;3;0
350010;2020-06-07;24;42;0;3;0
350010;2020-06-08;24;42;0;3;0
350010;2020-06-09;24;42;0;3;0
350010;2020-06-10;24;42;0;3;0
350010;2020-06-11;24;43;1;3;0
350010;2020-06-12;24;44;1;3;0
350010;2020-06-13;24;44;0;3;0
350010;2020-06-14;25;44;0;3;0
350010;2020-06-15;25;44;0;3;0
350010;2020-06-16;25;46;2;3;0
350010;2020-06-17;25;46;0;3;0
350010;2020-06-18;25;46;0;3;0
350010;2020-06-19;25;45;-1;3;0
350010;2020-06-20;25;45;0;3;0
350010;2020-06-21;26;45;0;3;0
350010;2020-06-22;26;45;0;3;0
350010;2020-06-23;26;46;1;4;1
350010;2020-06-24;26;47;1;4;0
350010;2020-06-25;26;46;-1;4;0
350010;2020-06-26;26;47;1;4;0
350010;2020-06-27;26;51;4;5;1
350010;2020-06-28;27;51;0;5;0
350010;2020-06-29;27;51;0;5;0
350010;2020-06-30;27;56;5;5;0
350010;2020-07-01;27;58;2;5;0
350010;2020-07-02;27;58;0;5;0
350010;2020-07-03;27;65;7;5;0
350010;2020-07-04;27;65;0;5;0
350010;2020-07-05;28;65;0;5;0
350010;2020-07-06;28;67;2;5;0
350010;2020-07-07;28;68;1;5;0
350010;2020-07-08;28;70;2;5;0
350010;2020-07-09;28;73;3;5;0
350010;2020-07-10;28;75;2;5;0
350010;2020-07-11;28;79;4;5;0
350010;2020-07-12;29;79;0;5;0
350010;2020-07-13;29;79;0;5;0
350010;2020-07-14;29;83;4;5;0
350010;2020-07-15;29;85;2;5;0
350010;2020-07-16;29;90;5;5;0
350010;2020-07-17;29;92;2;5;0
350010;2020-07-18;29;94;2;5;0
350010;2020-07-19;30;95;1;5;0
350010;2020-07-20;30;95;0;5;0
350010;2020-07-21;30;96;1;5;0
350010;2020-07-22;30;97;1;5;0
350010;2020-07-23;30;98;1;6;1
350010;2020-07-24;30;100;2;6;0
350010;2020-07-25;30;119;19;6;0
350010;2020-07-26;31;120;1;6;0
350010;2020-07-27;31;121;1;6;0
350010;2020-07-28;31;121;0;6;0
350010;2020-07-29;31;137;16;6;0
350010;2020-07-30;31;144;7;6;0
350010;2020-07-31;31;144;0;6;0
350010;2020-08-01;31;150;6;6;0
350010;2020-08-02;32;151;1;6;0
350010;2020-08-03;32;151;0;6;0
350010;2020-08-04;32;155;4;6;0
350010;2020-08-05;32;155;0;6;0
350010;2020-08-06;32;161;6;6;0
350010;2020-08-07;32;162;1;6;0
350010;2020-08-08;32;165;3;6;0
350010;2020-08-09;33;166;1;6;0
350010;2020-08-10;33;166;0;6;0
350010;2020-08-11;33;191;25;6;0
350010;2020-08-12;33;193;2;6;0
350010;2020-08-13;33;200;7;6;0
350010;2020-08-14;33;207;7;6;0
350020;2020-03-27;13;0;0;0;0
350020;2020-03-28;13;0;0;0;0
350020;2020-03-29;14;0;0;0;0
350020;2020-03-30;14;0;0;0;0
350020;2020-03-31;14;0;0;0;0
350020;2020-04-01;14;0;0;0;0
350020;2020-04-02;14;0;0;0;0
350020;2020-04-03;14;0;0;0;0
350020;2020-04-04;14;0;0;0;0
350020;2020-04-05;15;0;0;0;0
350020;2020-04-06;15;0;0;0;0
350020;2020-04-07;15;0;0;0;0
350020;2020-04-08;15;0;0;0;0
